"id","advice","adviceLastChangedAt","bonus","bonusLastChangedAt","endReason","endReasonLastChangedAt","ended","endedLastChangedAt","exitStep","exitStepLastChangedAt","exitStepDone","exitStepDoneLastChangedAt","exitSurvey","exitSurveyLastChangedAt","gameID","gameIDLastChangedAt","intro","introLastChangedAt","introDone","introDoneLastChangedAt","participantID","participantIDLastChangedAt","participantIdentifier","participantIdentifierLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt","urlParams","urlParamsLastChangedAt","writtenPlan","writtenPlanLastChangedAt"
"01KFEE85J92QXNE2691FZPHW2Z","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:33:31.845540189Z",128,"2026-01-20T19:39:35.080013442Z","","","game ended","2026-01-20T19:39:56.099804744Z",1,"2026-01-20T19:40:30.467782139Z","","","{""adviceFollowed"":"""",""partnerAdvice"":""The same as me, trying to get the best outcome for them"",""feedback"":""""}","2026-01-20T19:40:30.471264478Z","01KFEDCCBDJ82W4YK2PN7VDTAX","2026-01-20T19:33:46.29336445Z",3,"2026-01-20T19:33:31.992639867Z","true","2026-01-20T19:34:53.138728573Z","01KFEE84ZGCY92ZBJ5F13KCWWK","2026-01-20T19:31:34.089910809Z","5f9e4fcd32203d402fdfeb9c","2026-01-20T19:31:34.089910809Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:31:34.099742112Z","noCG_selfish","2026-01-20T19:31:34.099742112Z","{""PROLIFIC_PID"":""5f9e4fcd32203d402fdfeb9c"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd7f6e4c753e840ac3bdd""}","2026-01-20T19:31:34.410812206Z","{""plan"":""I will choose B, because I think the other person is going to go for C, so we will have different colors this way. Also, if the person decides to go for orange color, I think they will probably choose A.""}","2026-01-20T19:34:52.993322527Z"
"01KFEF0J7C8417B13N1313JGSZ","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:51:44.849793881Z",219,"2026-01-20T19:54:20.764313743Z","","","game ended","2026-01-20T19:54:29.896142394Z",1,"2026-01-20T19:55:49.832588969Z","","","{""adviceFollowed"":""Yes, we both picked selections to maximize our own profit, while being beneficial to each other too."",""partnerAdvice"":"""",""feedback"":""After the initial page, I waited for about 4 minutes on a blank screen, then was taken to an instruction page before loading into the game. The initial 4 minute wait I thought was a bug.""}","2026-01-20T19:55:49.836631041Z","01KFEDCCHH44R979H37GT2B68J","2026-01-20T19:44:53.496665809Z",3,"2026-01-20T19:51:44.928806947Z","true","2026-01-20T19:52:12.833731536Z","01KFEF0HYBVHQEFYMNGWBPTJP8","2026-01-20T19:44:53.484687848Z","5e00927797234bc6b5389173","2026-01-20T19:44:53.484687848Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T19:44:53.496665809Z","CG_selfish","2026-01-20T19:44:53.496665809Z","{""PROLIFIC_PID"":""5e00927797234bc6b5389173"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fdb1c1a4f878d1c7f5632""}","2026-01-20T19:44:53.657126774Z","{""plan"":""I will try to get the best outcome for myself. But I also want to help my partner when possible.""}","2026-01-20T19:52:12.838658189Z"
"01KFEFB7KJED56AXX5RHJAHZFZ","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-20T19:52:02.505689669Z",140,"2026-01-20T19:56:46.020792717Z","","","game ended","2026-01-20T19:57:03.152175319Z",1,"2026-01-20T19:58:33.643854912Z","","","{""adviceFollowed"":""yes, I feel that we both followed the advice. I did try to switch it up a bit to see if he or she would also change but I got best results when I kept my choice constant"",""partnerAdvice"":"""",""feedback"":""no""}","2026-01-20T19:58:33.639967206Z","01KFEDC9FF7T49EPA99GZDGH84","2026-01-20T19:52:19.441170975Z",3,"2026-01-20T19:52:02.502621166Z","true","2026-01-20T19:53:21.811427619Z","01KFEFB6G317DG2J50W9F8S9K6","2026-01-20T19:50:43.058776384Z","668d47c713ff36650d859118","2026-01-20T19:50:43.058776384Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:50:43.069923935Z","CG_cooperate","2026-01-20T19:50:43.069923935Z","{""PROLIFIC_PID"":""668d47c713ff36650d859118"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fdb982a2f081926ae9506""}","2026-01-20T19:50:43.628110878Z","{""plan"":""lets pick A and B. its fair that way, ""}","2026-01-20T19:53:21.768633773Z"
"01KFEFADJR1SXTG9225WD5SFVJ","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:51:02.816130089Z",210,"2026-01-20T19:54:20.764313743Z","","","game ended","2026-01-20T19:54:29.896142394Z",1,"2026-01-20T19:54:59.328472053Z","","","{""adviceFollowed"":""Yes we seemed to be in sync"",""partnerAdvice"":"""",""feedback"":""It was fun""}","2026-01-20T19:54:59.324144461Z","01KFEDCCHH44R979H37GT2B68J","2026-01-20T19:50:16.41936756Z",3,"2026-01-20T19:51:02.819614549Z","true","2026-01-20T19:51:24.901766866Z","01KFEFADF0ZZ1YCP9M1YQWYCQ7","2026-01-20T19:50:16.40835959Z","5f285dc5b09b3715fa20a14c","2026-01-20T19:50:16.40835959Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T19:50:16.41936756Z","CG_selfish","2026-01-20T19:50:16.41936756Z","{""PROLIFIC_PID"":""5f285dc5b09b3715fa20a14c"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fdc23f1321e2b7731da7f""}","2026-01-20T19:50:16.504642542Z","{""plan"":""I plan on parking in B""}","2026-01-20T19:51:24.898859146Z"
"01KFEEJDGDWEMZQAHJH9Z7FVC3","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-20T19:39:50.99329729Z",166,"2026-01-20T19:42:59.19166563Z","","","game ended","2026-01-20T19:43:10.618356283Z",1,"2026-01-20T19:43:46.301950842Z","","","{""adviceFollowed"":"""",""partnerAdvice"":""the same advice i got, to find something fair for both"",""feedback"":""No""}","2026-01-20T19:43:46.29810541Z","01KFEDCCHJADFRJT5F5VJ9ST9F","2026-01-20T19:39:51.800818736Z",3,"2026-01-20T19:39:50.995846294Z","true","2026-01-20T19:40:21.488382666Z","01KFEEJCTSZ985HBZ0CXBSKBJR","2026-01-20T19:37:09.901411919Z","60fa6f5d0c4ef9c26538f610","2026-01-20T19:37:09.901411919Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:37:09.911707526Z","noCG_cooperate","2026-01-20T19:37:09.911707526Z","{""PROLIFIC_PID"":""60fa6f5d0c4ef9c26538f610"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd7fec37ee28b403cefbb""}","2026-01-20T19:37:10.24804165Z","{""plan"":""maybe i would park in A""}","2026-01-20T19:40:21.48541088Z"
"01KFEE7Q9A8CN1TS35QENG1JN7","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:32:27.50950937Z",116,"2026-01-20T19:37:07.853502952Z","","","game ended","2026-01-20T19:37:43.491998558Z",1,"2026-01-20T19:38:20.276045516Z","","","{""adviceFollowed"":"""",""partnerAdvice"":""The same advice that i received "",""feedback"":""""}","2026-01-20T19:38:20.292353221Z","01KFEDCB85NRAF0XG25ABR62N5","2026-01-20T19:32:21.178465592Z",3,"2026-01-20T19:32:27.704308089Z","true","2026-01-20T19:33:41.906789857Z","01KFEE7PF3SCD6C1GF85BTSWGZ","2026-01-20T19:31:19.466620572Z","63e59ee5226fa6bbe1be8ecf","2026-01-20T19:31:19.466620572Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:31:19.47775134Z","noCG_selfish","2026-01-20T19:31:19.47775134Z","{""PROLIFIC_PID"":""63e59ee5226fa6bbe1be8ecf"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd7e4dd3a78105ce0bab8""}","2026-01-20T19:31:19.919406592Z","{""plan"":""My game plan is to consistently try and pick the different colour from my partner each time.""}","2026-01-20T19:33:41.890383878Z"
"01KFEDRBWHPV4A332ZXM2PZSR4","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-20T19:25:36.326005525Z",146,"2026-01-20T19:30:50.313563071Z","","","game ended","2026-01-20T19:31:05.754994043Z",1,"2026-01-20T19:33:52.566853362Z","","","{""adviceFollowed"":"""",""partnerAdvice"":""I honestly don't know because their choices seemed to be all over the place. "",""feedback"":""The amounts I earnt for my choices didn't seem to match up to the instructions/what was shown in the cards?\n\nI changed my gameplan whilst I was waiting for the game to start BTW. I decided that just swapping between choices B and C would be the easiest pattern for my partner to spot, and I thought it would yield us the highest points total, so I went for that. ""}","2026-01-20T19:33:52.564686292Z","01KFEDCB197E7YMN5STVXKHS22","2026-01-20T19:24:42.171578635Z",3,"2026-01-20T19:25:36.329900683Z","true","2026-01-20T19:27:06.547219804Z","01KFEDRB3TWKA6B7SNR12S8V8E","2026-01-20T19:22:56.273901324Z","615eda024a5f84f408625b4f","2026-01-20T19:22:56.273901324Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:22:56.281448082Z","noCG_cooperate","2026-01-20T19:22:56.281448082Z","{""PROLIFIC_PID"":""615eda024a5f84f408625b4f"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd5e6f4b4b6e0fbfb3c0b""}","2026-01-20T19:22:56.603115768Z","{""plan"":""I can't remember how many rounds there are...my plan is to pick A or B for half of the rounds, and then I'm going to go on C for the remainder of the rounds. My hope is that my partner will accept a 50/50 split once they've realised I'm going to be on C for the rest of the rounds if you know what I mean? ""}","2026-01-20T19:27:06.542212055Z"
"01KFEDQK6ZX4EYK4N5S5CFQ5FY","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:25:30.93744102Z",149,"2026-01-20T19:29:08.118525719Z","","","game ended","2026-01-20T19:29:26.276964482Z",1,"2026-01-20T19:30:41.15959769Z","","","{""adviceFollowed"":""I am not sure if we both followed the advice "",""partnerAdvice"":"""",""feedback"":""This game is affected by what my partner thinks. ""}","2026-01-20T19:30:41.162826228Z","01KFEDCC2JDADMPT5RVP2N7S0X","2026-01-20T19:22:31.017556836Z",3,"2026-01-20T19:25:30.933563608Z","true","2026-01-20T19:26:36.585668536Z","01KFEDQJZPKDXWT894807M80ZF","2026-01-20T19:22:31.007100296Z","60027aa9e860e7265bfabacf","2026-01-20T19:22:31.007100296Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T19:22:31.017556836Z","CG_selfish","2026-01-20T19:22:31.017556836Z","{""PROLIFIC_PID"":""60027aa9e860e7265bfabacf"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd5ca66e0ff7c32293b07""}","2026-01-20T19:22:31.168567694Z","{""plan"":""Maximize my earning. Aim to park in C, A, B D""}","2026-01-20T19:26:36.589436445Z"
"01KFEE6KZQR5PP1P0PS1XNKJRD","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:33:03.912093303Z",212,"2026-01-20T19:39:35.080013442Z","","","game ended","2026-01-20T19:39:56.099804744Z",1,"2026-01-20T19:40:43.079293631Z","","","{""adviceFollowed"":"""",""partnerAdvice"":""I think it was try to be fair to optimise points but not to be selfish."",""feedback"":""""}","2026-01-20T19:40:43.076256432Z","01KFEDCCBDJ82W4YK2PN7VDTAX","2026-01-20T19:33:46.29336445Z",3,"2026-01-20T19:33:03.915428111Z","true","2026-01-20T19:34:32.285442377Z","01KFEE6K5Y2A489T24PXENAT6R","2026-01-20T19:30:43.319068611Z","5b421b9ac2e3810001763252","2026-01-20T19:30:43.319068611Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:30:43.329684016Z","noCG_selfish","2026-01-20T19:30:43.329684016Z","{""PROLIFIC_PID"":""5b421b9ac2e3810001763252"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd748491e97a61d7a3714""}","2026-01-20T19:30:43.640227724Z","{""plan"":""I want to try to maximise the best points allocation but want to be mindful also. I want to try to get the best outcome for me and my partner and somehow try to work out the game play but also try to get the best amount of points and potential bonus.""}","2026-01-20T19:34:32.282956779Z"
"01KFEEMRW7PPKZGT4SNXBV2JSZ","{""advice"":""Try to get the best outcome for yourself.""}","2026-01-20T19:39:53.903912999Z",69,"2026-01-20T19:44:26.765800555Z","","","game ended","2026-01-20T19:44:44.365894831Z",NA,"","","","","","01KFEDCCBE716PRHN8Q6NQV6ZT","2026-01-20T19:38:27.091293485Z",3,"2026-01-20T19:39:53.907017597Z","true","2026-01-20T19:40:43.642096923Z","01KFEEMRNJZKTTEW9JR3K9570P","2026-01-20T19:38:27.079653831Z","60309a142458094108f37f73","2026-01-20T19:38:27.079653831Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T19:38:27.091293485Z","CG_selfish","2026-01-20T19:38:27.091293485Z","{""PROLIFIC_PID"":""60309a142458094108f37f73"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd921c87f99da86f8a758""}","2026-01-20T19:38:27.19888336Z","{""plan"":""I'll pick the least desirable option first and then the odd options just for probability ""}","2026-01-20T19:40:43.644990573Z"
